#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-09 17:35:28.031.965.100
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 60 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: -20 mV Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.005570488578616353,0.004634723003718472
-0.005570148578616352,0.007070326277556776
-0.005569808578616353,0.007662770317137727
-0.005569468578616353,0.006280400891446328
-0.005569128578616352,0.006543709353481827
-0.005568788578616353,0.00601709242940987
-0.005568448578616353,0.004700550119227587
-0.005568108578616352,-0.0001706564284504586
-0.005567768578616353,-0.002145469893720293
-0.005567428578616353,0.002890304442726945
-0.005567088578616352,0.002232033287640595
-0.005566748578616353,0.004865117908000373
-0.005566408578616353,-6.088639674078911e-06
-0.005566068578616352,-0.002639173260032362
-0.005565728578616353,0.0008167503041898484
-0.005565388578616353,0.001376280786017318
-0.005565048578616352,-0.001355544507611042
-0.005564708578616353,-0.001421371623120036
-0.005564368578616353,-0.001322630949856365
-0.005564028578616352,-0.002244210566983125
-0.005563688578616353,-0.001783420758420164
-0.005563348578616353,-0.002013815662702062
-0.005563008578616353,-0.003429098646145445
-0.005562668578616353,-0.0007631004680288926
-0.005562328578616353,-0.00158593941189282
-0.005561988578616353,-0.002672086817791229
-0.005561648578616353,-0.002803741048811433
-0.005561308578616353,-0.00362657999267536
-0.005560968578616353,-0.003889888454711339
-0.005560628578616352,-0.003560752877166246
-0.005560288578616353,-0.002639173260038648
-0.005559948578616353,-0.004515246052044992
-0.005559608578616352,-0.003824061339202704
-0.005559268578616353,-0.003593666434920803
-0.005558928578616353,-0.004219024032256252
-0.005558588578616352,-0.004613986725312075
-0.005558248578616353,-0.005831788362230687
-0.005557908578616353,-0.005535566342440211
-0.005557568578616352,-0.01067008135215058
-0.005557228578616353,-0.004021542685730045
-0.005556888578616353,-0.003198703741867614
-0.005556548578616352,-0.002902481722075106
-0.005556208578616353,-0.002211297009229406
-0.005555868578616353,-0.007444552692194466
-0.005555528578616352,-0.006654627306094615
-0.005555188578616353,-0.004449418936539287
-0.005554848578616353,-0.003659493550431353
-0.005554508578616352,-0.005798874804476131
-0.005554168578616353,-0.003165790184111561
-0.005553828578616353,-0.004515246052048404
-0.005553488578616352,-0.00570013413121246
-0.005553148578616353,-0.005140603649384987
-0.005552808578616353,-0.005930529035494358
-0.005552468578616352,-0.007806601827504114
-0.005552128578616353,-0.0084319594248407
-0.005551788578616353,-0.006621713748340058
-0.005551448578616352,-0.008004083174029123
-0.005551108578616353,-0.006720454421603728
-0.005550768578616353,-0.004646900283066632
-0.005550428578616352,-0.004745640956329404
-0.005550088578616353,-0.004251937590011946
-0.005549748578616353,-0.00362657999267536
-0.005549408578616352,-0.004120283358997671
-0.005549068578616353,-0.006292578170794486
-0.005548728578616353,-0.005502652784685116
-0.005548388578616352,-0.007247071345676884
-0.005548048578616353,-0.007378725576694872
-0.005547708578616353,-0.007938256058522341
-0.005547368578616352,-0.01067008135215555
-0.005547028578616353,-0.01340190664577882
-0.005546688578616353,-0.006160923939776259
-0.005546348578616352,-0.006193837497530636
-0.005546008578616353,-0.006095096824267145
-0.005545668578616353,-0.005206430764894101
-0.005545328578616352,-0.009781415292774367
-0.005544988578616353,-0.008036996731786015
-0.005544648578616353,-0.007214157787922088
-0.005544308578616352,-0.00876109500238968
-0.005543968578616353,-0.01063716779439602
-0.005543628578616353,-0.009024403464422726
-0.005543288578616352,-0.007938256058525633
-0.005542948578616353,-0.009748501735022983
-0.005542608578616353,-0.008168650962804242
-0.005542268578616353,-0.008366132309331224
-0.005541928578616353,-0.0084319594248407
-0.005541588578616353,-0.008530700098104371
-0.005541248578616353,-0.007609120480978449
-0.005540908578616353,-0.008596527213613484
-0.005540568578616353,-0.00968267461951387
-0.005540228578616353,-0.009353539041968896
-0.005539888578616353,-0.009616847504004756
-0.005539548578616353,-0.01080173558316881
-0.005539208578616353,-0.01027511865909685
-0.005538868578616352,-0.01040677289011413
-0.005538528578616353,-0.008958576348913613
-0.005538188578616353,-0.007115417114661767
-0.005537848578616352,-0.006490059517321831
-0.005537508578616353,-0.006983762883640186
