#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-12 17:55:48.627.634.140
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average

Time (s),Channel 3 (V)
-0.00557037728531856,0.003413024309310185
-0.005570037285318559,0.003840900560109609
-0.00556969728531856,-0.001556922911627938
-0.00556935728531856,-0.00267598387528288
-0.005569017285318559,-0.002675983875282341
-0.00556867728531856,-0.002379761855491866
-0.00556833728531856,-0.005078673591365549
-0.005567997285318559,-0.004815365129326877
-0.00556765728531856,-0.003597563492410479
-0.00556731728531856,-0.005374895611156563
-0.005566977285318559,-0.005341982053403622
-0.00556663728531856,-0.006230648112775047
-0.00556629728531856,-0.005704031188702134
-0.005565957285318559,-0.004749538013814649
-0.00556561728531856,-0.001820231373664395
-0.00556527728531856,-0.006066080324002262
-0.005564937285318559,-0.006921832825618173
-0.00556459728531856,-0.005506549842174791
-0.00556425728531856,-0.005671117630947577
-0.005563917285318559,-0.00636230234379142
-0.00556357728531856,-0.005341982053402005
-0.00556323728531856,-0.004782451571574535
-0.00556289728531856,-0.005605290515436965
-0.00556255728531856,-0.004716624456065421
-0.00556221728531856,-0.005473636284420234
-0.00556187728531856,-0.007053487056636102
-0.00556153728531856,-0.007415536191939104
-0.00556119728531856,-0.01060815129413114
-0.00556085728531856,-0.01278044610592796
-0.00556051728531856,-0.007086400614393532
-0.00556017728531856,-0.005901512535229476
-0.00555983728531856,-0.006658524363582913
-0.00555949728531856,-0.009127041195176074
-0.00555915728531856,-0.01330706303000483
-0.00555881728531856,-0.01162847158452547
-0.00555847728531856,-0.008633337828857716
-0.00555813728531856,-0.009884053023530886
-0.00555779728531856,-0.0121550885085912
-0.00555745728531856,-0.01307666812572293
-0.00555711728531856,-0.01189178004655887
-0.00555677728531856,-0.01258296475940331
-0.00555643728531856,-0.01429446976264154
-0.00555609728531856,-0.01544644428405104
-0.00555575728531856,-0.0170262950562669
-0.00555541728531856,-0.01580849341935116
-0.00555507728531856,-0.01452486466692344
-0.00555473728531856,-0.01521604937976788
-0.00555439728531856,-0.01541353072629648
-0.00555405728531856,-0.01278044610593191
-0.00555371728531856,-0.01159555802676786
-0.00555337728531856,-0.0129450138947047
-0.00555303728531856,-0.01268170543266824
-0.00555269728531856,-0.01261587831715913
-0.00555235728531856,-0.01182595293104976
-0.00555201728531856,-0.0108714597561676
-0.00555167728531856,-0.009522003888230759
-0.00555133728531856,-0.009489090330476201
-0.00555099728531856,-0.009489090330476201
-0.00555065728531856,-0.01310958168347748
-0.00555031728531856,-0.01116768177595712
-0.00554997728531856,-0.01034484283209469
-0.00554963728531856,-0.01083854619841304
