#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3450
#Serial Number: SN:210018B9D9B0
#Date Time: 2024-08-05 15:13:46.270.494.930
#Sample rate: 2.5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 3 Type: Edge Condition: Rising Level: 80 mV Hyst.: Auto HoldOff: 0 s
#Channel 3: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: 0 Hz Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 3 (V)
-0.0006553463291139241,-0.008435856482330374
-0.0006553063291139241,-0.006823092152357076
-0.000655266329113924,-0.004354575320774393
-0.000655226329113924,-0.009357436099457973
-0.000655186329113924,-0.006493956574811504
-0.0006551463291139241,-0.009752398792512659
-0.0006551063291139241,-0.01264879187491368
-0.0006550663291139241,-0.004848278687097838
-0.000655026329113924,-0.00764593109622214
-0.000654986329113924,-0.008271288693557588
-0.000654946329113924,-0.007382622634184546
-0.0006549063291139241,-0.004881192244838206
-0.0006548663291139241,-0.009225781868431843
-0.000654826329113924,-0.006592697248081522
-0.000654786329113924,-0.01008153437005823
-0.000654746329113924,-0.008073807347030245
-0.0006547063291139241,-0.008304202251312145
-0.0006546663291139241,-0.00586859897747935
-0.000654626329113924,-0.008040893789272995
-0.000654586329113924,-0.006559783690320619
-0.000654546329113924,-0.00860042427110316
-0.0006545063291139241,-0.008172548020293918
-0.0006544663291139241,-0.01021318860107646
-0.000654426329113924,-0.007349709076432145
-0.000654386329113924,-0.008534597155594046
-0.000654346329113924,-0.006856005710111633
-0.0006543063291139241,-0.008337115809066702
-0.0006542663291139241,-0.007645931096221003
-0.0006542263291139241,-0.008304202251310948
-0.000654186329113924,-0.007349709076429989
-0.000654146329113924,-0.008435856482330374
-0.000654106329113924,-0.00711931417214809
-0.0006540663291139241,-0.006329388786038719
-0.0006540263291139241,-0.00405835330097841
-0.000653986329113924,-0.005309068495645712
-0.000653946329113924,-0.004354575320765292
-0.000653906329113924,-0.005506549842174791
-0.0006538663291139241,-0.004749538013819977
-0.0006538263291139241,-0.005276154937891934
-0.000653786329113924,-0.006592697248070027
-0.000653746329113924,-0.003762131281183265
-0.000653706329113924,-0.004749538013819977
-0.0006536663291139241,-0.004288748205256179
-0.0006536263291139241,-0.00629647522828051
-0.000653586329113924,-0.004420402436292787
-0.000653546329113924,-0.01452486466692344
-0.000653506329113924,0.0005824583424182735
-0.0006534663291139241,-0.005341982053402005
-0.0006534263291139241,-0.005309068495647449
-0.0006533863291139241,-0.002379761855497194
-0.000653346329113924,-0.008797905617630502
-0.000653306329113924,-0.007942153116012016
-0.0006532663291139241,-0.005802771861965805
-0.0006532263291139241,-0.002511416086510094
-0.0006531863291139241,-0.007645931096211664
-0.000653146329113924,-0.006658524363580938
-0.000653106329113924,-0.004815365129329092
-0.000653066329113924,-0.003597563492410479
-0.0006530263291139241,-0.004716624456065421
-0.0006529863291139241,-0.003827958396693995
-0.000652946329113924,-0.006000253208490873
-0.000652906329113924,-0.004749538013819977
-0.000652866329113924,-0.005440722726665677
-0.0006528263291139241,-0.004979932918101878
-0.0006527863291139241,-0.00376213128118548
-0.000652746329113924,-0.003860871954446996
-0.000652706329113924,-0.003893785512201493
-0.000652666329113924,-0.003729217723428708
-0.0006526263291139241,-0.004650797340556306
-0.0006525863291139241,-0.005473636284420234
-0.0006525463291139241,-0.005276154937893251
-0.000652506329113924,-0.006131907439511376
-0.000652466329113924,-0.005111587149120106
-0.0006524263291139241,-0.004288748205256179
-0.0006523863291139241,-0.005045760033610991
-0.0006523463291139241,-0.006296475228281887
-0.000652306329113924,-0.007382622634184008
-0.000652266329113924,-0.007086400614393532
-0.000652226329113924,-0.009094127637421515
-0.0006521863291139241,-0.00837002936682126
-0.0006521463291139241,-0.006888919267868884
-0.000652106329113924,-0.006526870132568576
-0.000652066329113924,-0.00790923955825746
-0.000652026329113924,-0.009291608983948858
-0.0006519863291139241,-0.008567510713348603
-0.0006519463291139241,-0.00919286831068405
-0.000651906329113924,-0.01011444792781267
-0.000651866329113924,-0.01004862081230367
-0.000651826329113924,-0.007777585327239231
-0.0006517863291139241,-0.007218054845411761
-0.0006517463291139241,-0.00860042427110316
-0.000651706329113924,-0.008337115809066702
-0.000651666329113924,-0.008337115809066702
-0.000651626329113924,-0.00790923955825746
-0.0006515863291139241,-0.009258695426194301
-0.0006515463291139241,-0.008040893789275689
-0.0006515063291139241,-0.006395215901550826
-0.000651466329113924,-0.005934426092983136
-0.000651426329113924,-0.005440722726665677
-0.000651386329113924,-0.007053487056638975
-0.0006513463291139241,-0.007744671769484675
-0.0006513063291139241,-0.006493956574813779
-0.000651266329113924,-0.00774467176948671
-0.000651226329113924,-0.008863732733139616
-0.000651186329113924,-0.008073807347030245
-0.0006511463291139241,-0.007020573498884419
-0.0006511063291139241,-0.006691437921339445
-0.000651066329113924,-0.006691437921340284
-0.000651026329113924,-0.007481363307448217
-0.000650986329113924,-0.007152227729902647
-0.0006509463291139241,-0.006921832825620747
-0.0006509063291139241,-0.006428129459302391
-0.000650866329113924,-0.005210327822382101
-0.000650826329113924,-0.004288748205256179
-0.000650786329113924,-0.003334255030374022
-0.0006507463291139241,-0.004091266858728836
-0.0006507063291139241,-0.002972205895073894
-0.0006506663291139241,-0.006000253208487639
-0.000650626329113924,-0.003334255030374022
-0.000650586329113924,-0.002116453393455409
-0.000650546329113924,-0.003169687241601236
-0.0006505063291139241,-0.003795044838937822
-0.0006504663291139241,-0.004091266858728297
-0.000650426329113924,-0.003564649934659873
-0.000650386329113924,-0.005736944746456691
-0.000650346329113924,-0.004914105802592763
-0.0006503063291139241,-0.005210327822383777
-0.0006502663291139241,-0.006493956574809169
-0.000650226329113924,-0.005539463399926834
-0.000650186329113924,-0.00415709397423795
-0.000650146329113924,-0.004584970225047193
-0.0006501063291139241,-0.004979932918101878
-0.0006500663291139241,-0.006461043017054253
-0.000650026329113924,-0.006592697248075235
-0.000649986329113924,-0.006625610805829733
-0.000649946329113924,-0.006691437921338847
-0.0006499063291139241,-0.006296475228284162
-0.0006498663291139241,-0.005276154937892892
-0.0006498263291139241,-0.005243241380138394
-0.000649786329113924,-0.00619773455502049
-0.000649746329113924,-0.006921832825620747
-0.0006497063291139241,-0.007020573498884419
-0.0006496663291139241,-0.007218054845411761
-0.0006496263291139241,-0.006888919267866788
-0.000649586329113924,-0.006757265036847363
-0.000649546329113924,-0.006428129459302391
-0.000649506329113924,-0.006526870132566062
-0.0006494663291139241,-0.007218054845411761
-0.0006494263291139241,-0.007283881960920755
-0.000649386329113924,-0.009587831003740112
-0.000649346329113924,-0.009719485234758102
-0.000649306329113924,-0.007415536191939104
-0.0006492663291139241,-0.008468770040084931
-0.0006492263291139241,-0.007678844653976997
-0.000649186329113924,-0.008764992059875586
-0.000649146329113924,-0.008567510713348603
-0.000649106329113924,-0.008468770040084931
-0.0006490663291139241,-0.01004862081230367
-0.0006490263291139241,-0.0120234342775771
-0.000648986329113924,-0.01024610215883143
-0.000648946329113924,-0.01047649706311291
-0.000648906329113924,-0.00837002936682126
-0.0006488663291139241,-0.01027901571658557
-0.0006488263291139241,-0.01083854619841304
-0.0006487863291139241,-0.01120059533371251
-0.000648746329113924,-0.01116768177596526
-0.000648706329113924,-0.01482108668671445
-0.000648666329113924,-0.01146390379574963
-0.0006486263291139241,-0.008863732733139616
-0.0006485863291139241,-0.01054232417861898
-0.000648546329113924,-0.01034484283209391
-0.000648506329113924,-0.009916966581285444
